year,value,group,bank
2018,"120,098,058,000",tien-cho-vay,LVB
2018,"35,665,848,000",dau-tu-chung-khoan,LVB
2018,"136,996,418,000",tien-gui,LVB
2018,"10,200,892,000",von-va-cac-quy,LVB
2018,"33,094,293,000",tong-doanh-thu(*),MBB
2018,"7,767,373,000",tong-loi-nhuan-truoc-thue,MBB
2018,"26,071,977,000",tong-chi-phi,MBB
2018,"6,112,714,000",loi-nhuan-rong(**),MBB
2018,"362,325,062,000",tong-tai-san,MBB
2018,"224,580,157,000",tien-cho-vay,MBB
2018,"74,308,986,000",dau-tu-chung-khoan,MBB
2018,"728,043,000",gop-von-va-dau-tu-dai-han,MBB
2018,"280,657,250,000",tien-gui,MBB
2018,"32,643,154,000",von-va-cac-quy,MBB
2018,"8,670,480,000",tong-doanh-thu(*),MSB
2018,"1,052,776,000",tong-loi-nhuan-truoc-thue,MSB
2018,"7,794,029,000",tong-chi-phi,MSB
2018,"868,289,000",loi-nhuan-rong(**),MSB
2018,"137,768,688,000",tong-tai-san,MSB
2018,"54,129,909,000",tien-cho-vay,MSB
2018,"40,747,473,000",dau-tu-chung-khoan,MSB
2018,"10,036,000",gop-von-va-dau-tu-dai-han,MSB
2018,"85,399,559,000",tien-gui,MSB
2018,"13,820,154,000",von-va-cac-quy,MSB
2018,"8,396,812,530",tong-doanh-thu(*),OCB
2018,"2,201,861,406",tong-loi-nhuan-truoc-thue,OCB
2018,"6,297,561,415",tong-chi-phi,OCB
2018,"1,761,031,319",loi-nhuan-rong(**),OCB
2018,"99,964,107,627",tong-tai-san,OCB
2018,"57,025,821,095",tien-cho-vay,OCB
2018,"24,387,921,716",dau-tu-chung-khoan,OCB
2018,"71,569,388,987",tien-gui,OCB
2018,"8,797,238,028",von-va-cac-quy,OCB
2018,"31,021,448,000",tong-doanh-thu(*),STB
2018,"2,246,991,000",tong-loi-nhuan-truoc-thue,STB
2018,"27,608,148,000",tong-chi-phi,STB
2018,"1,790,156,000",loi-nhuan-rong(**),STB
2018,"406,040,598,000",tong-tai-san,STB
2018,"256,997,471,000",tien-cho-vay,STB
2018,"75,514,421,000",dau-tu-chung-khoan,STB
2018,"142,613,000",gop-von-va-dau-tu-dai-han,STB
2018,"350,432,138,000",tien-gui,STB
2018,"24,632,367,000",von-va-cac-quy,STB
2018,"622,437,000",tong-loi-nhuan-truoc-thue,SSB
2018,"8,079,669,000",tong-chi-phi,SSB
2018,"493,346,000",loi-nhuan-rong(**),SSB
2018,"140,487,190,000",tong-tai-san,SSB
2018,"86,673,348,000",tien-cho-vay,SSB
2018,"27,755,629,000",dau-tu-chung-khoan,SSB
2018,"205,729,000",gop-von-va-dau-tu-dai-han,SSB
2018,"86,380,494,000",tien-gui,SSB
2018,"8,301,505,000",von-va-cac-quy,SSB
2018,"29,643,815,000",tong-doanh-thu(*),TCB
2018,"10,661,016,000",tong-loi-nhuan-truoc-thue,TCB
2018,"18,295,323,000",tong-chi-phi,TCB
2018,"8,462,775,000",loi-nhuan-rong(**),TCB
2018,"320,988,941,000",tong-tai-san,TCB
2018,"171,329,068,000",tien-cho-vay,TCB
2018,"94,084,577,000",dau-tu-chung-khoan,TCB
2018,"201,414,532,000",tien-gui,TCB
2018,"51,713,388,000",von-va-cac-quy,TCB
2018,"7,650,904,000",tong-doanh-thu(*),TPB
2018,"1,205,711,000",tong-loi-nhuan-truoc-thue,TPB
2018,"6,215,662,000",tong-chi-phi,TPB
2018,"963,609,000",loi-nhuan-rong(**),TPB
2018,"124,118,747,000",tong-tai-san,TPB
2018,"63,822,643,000",tien-cho-vay,TPB
2018,"26,045,056,000",dau-tu-chung-khoan,TPB
2018,"98,057,516,000",tien-gui,TPB
2018,"6,676,717,000",von-va-cac-quy,TPB
2018,"68,118,179,000",tong-doanh-thu(*),VCB
2018,"18,269,226,000",tong-loi-nhuan-truoc-thue,VCB
2018,"44,967,731,000",tong-chi-phi,VCB
2018,"14,605,578,000",loi-nhuan-rong(**),VCB
2018,"1,074,026,560,000",tong-tai-san,VCB
2018,"695,742,295,000",tien-cho-vay,VCB
2018,"151,951,236,000",dau-tu-chung-khoan,VCB
2018,"2,476,067,000",gop-von-va-dau-tu-dai-han,VCB
2018,"877,174,794,000",tien-gui,VCB
2018,"62,110,390,000",von-va-cac-quy,VCB
2018,"16,388,720,000",tong-doanh-thu(*),VIB
2018,"4,082,257,000",tong-loi-nhuan-truoc-thue,VIB
2018,"8,152,077,000",tong-chi-phi,VIB
2018,"3,266,402,000",loi-nhuan-rong(**),VIB
2018,"184,531,485,000",tong-tai-san,VIB
2018,"130,338,608,000",tien-cho-vay,VIB
2018,"28,168,294,000",dau-tu-chung-khoan,VIB
2018,"105,805,000",gop-von-va-dau-tu-dai-han,VIB
2018,"136,535,922,000",tien-gui,VIB
2018,"13,429,644,000",von-va-cac-quy,VIB
2018,"49,463,730,000",tong-doanh-thu(*),VPB
2018,"9,198,508,000",tong-loi-nhuan-truoc-thue,VPB
2018,"18,467,553,000",tong-chi-phi,VPB
2018,"7,355,568,000",loi-nhuan-rong(**),VPB
2018,"323,291,119,000",tong-tai-san,VPB
2018,"223,195,859,000",tien-cho-vay,VPB
2018,"56,128,829,000",dau-tu-chung-khoan,VPB
2018,"190,654,000",gop-von-va-dau-tu-dai-han,VPB
2018,"191,996,065,000",tien-gui,VPB
2018,"34,750,069,000",von-va-cac-quy,VPB
2019,"32,601,183,000",tong-doanh-thu(*),ACB
2019,"7,515,936,000",tong-loi-nhuan-truoc-thue,ACB
2019,"25,371,279,000",tong-chi-phi,ACB
2019,"6,009,937,000",loi-nhuan-rong(**),ACB
2019,"383,514,439,000",tong-tai-san,ACB
2019,"279,751,858,000",tien-cho-vay,ACB
2019,"58,941,422,000",dau-tu-chung-khoan,ACB
2019,"97,884,000",gop-von-va-dau-tu-dai-han,ACB
2019,"324,803,340,000",tien-gui,ACB
2019,"27,765,359,000",von-va-cac-quy,ACB
2019,"115,351,416,000",tong-doanh-thu(*),BID
2019,"10,732,209,000",tong-loi-nhuan-truoc-thue,BID
2019,"69,531,618,000",tong-chi-phi,BID
2019,"8,368,491,000",loi-nhuan-rong(**),BID
2019,"1,489,957,293,000",tong-tai-san,BID
2019,"1,127,715,754,000",tien-cho-vay,BID
2019,"144,630,611,000",dau-tu-chung-khoan,BID
2019,"2,737,661,000",gop-von-va-dau-tu-dai-han,BID
2019,"1,143,067,477,000",tien-gui,BID
2019,"74,522,544,000",von-va-cac-quy,BID
2019,"93,616,731,000",tong-doanh-thu(*),CTG
2019,"11,780,993,000",tong-loi-nhuan-truoc-thue,CTG
2019,"69,971,343,000",tong-chi-phi,CTG
2019,"9,461,267,000",loi-nhuan-rong(**),CTG
2019,"1,240,711,475,000",tong-tai-san,CTG
2019,"941,574,705,000",tien-cho-vay,CTG
2019,"108,440,653,000",dau-tu-chung-khoan,CTG
2019,"3,282,709,000",gop-von-va-dau-tu-dai-han,CTG
2019,"975,323,268,000",tien-gui,CTG
2019,"76,793,395,000",von-va-cac-quy,CTG
2019,"12,768,757,000",tong-doanh-thu(*),EIB
2019,"1,095,249,000",tong-loi-nhuan-truoc-thue,EIB
2019,"11,576,816,000",tong-chi-phi,EIB
2019,"866,132,000",loi-nhuan-rong(**),EIB
2019,"167,538,318,000",tong-tai-san,EIB
2019,"113,254,801,000",tien-cho-vay,EIB
2019,"14,540,461,000",dau-tu-chung-khoan,EIB
2019,"147,342,272,000",tien-gui,EIB
2019,"15,749,313,000",von-va-cac-quy,EIB
2019,"20,941,445,000",tong-doanh-thu(*),HDB
2019,"5,018,413,000",tong-loi-nhuan-truoc-thue,HDB
2019,"10,103,667,000",tong-chi-phi,HDB
2019,"3,604,766,000",loi-nhuan-rong(**),HDB
2019,"229,477,262,000",tong-tai-san,HDB
2019,"147,134,378,000",tien-cho-vay,HDB
2019,"40,685,382,000",dau-tu-chung-khoan,HDB
2019,"166,821,000",gop-von-va-dau-tu-dai-han,HDB
2019,"152,239,330,000",tien-gui,HDB
2019,"19,072,572,000",von-va-cac-quy,HDB
2019,"16,943,517,000",tong-doanh-thu(*),LVB
2019,"2,038,824,000",tong-loi-nhuan-truoc-thue,LVB
2019,"14,483,348,000",tong-chi-phi,LVB
2019,"1,600,277,000",loi-nhuan-rong(**),LVB
2019,"202,058,040,000",tong-tai-san,LVB
2019,"142,923,749,000",tien-cho-vay,LVB
2019,"34,796,118,000",dau-tu-chung-khoan,LVB
2019,"149,794,685,000",tien-gui,LVB
2019,"12,579,800,000",von-va-cac-quy,LVB
2019,"40,223,965,000",tong-doanh-thu(*),MBB
2019,"10,036,119,000",tong-loi-nhuan-truoc-thue,MBB
2019,"26,584,212,000",tong-chi-phi,MBB
2019,"7,822,773,000",loi-nhuan-rong(**),MBB
2019,"411,487,575,000",tong-tai-san,MBB
2019,"260,879,182,000",tien-cho-vay,MBB
2019,"86,796,808,000",dau-tu-chung-khoan,MBB
2019,"887,017,000",gop-von-va-dau-tu-dai-han,MBB
2019,"302,259,667,000",tien-gui,MBB
2019,"37,997,849,000",von-va-cac-quy,MBB
2019,"10,368,975,000",tong-doanh-thu(*),MSB
2019,"1,287,822,000",tong-loi-nhuan-truoc-thue,MSB
2019,"8,465,358,000",tong-chi-phi,MSB
2019,"1,043,560,000",loi-nhuan-rong(**),MSB
2019,"156,977,946,000",tong-tai-san,MSB
2019,"65,729,978,000",tien-cho-vay,MSB
2019,"45,691,544,000",dau-tu-chung-khoan,MSB
2019,"10,036,000",gop-von-va-dau-tu-dai-han,MSB
2019,"100,084,199,000",tien-gui,MSB
2019,"14,863,521,000",von-va-cac-quy,MSB
2019,"11,074,765,333",tong-doanh-thu(*),OCB
2019,"3,231,123,841",tong-loi-nhuan-truoc-thue,OCB
2019,"8,112,373,242",tong-chi-phi,OCB
2019,"2,582,236,224",loi-nhuan-rong(**),OCB
2019,"118,159,970,848",tong-tai-san,OCB
2019,"74,231,866,292",tien-cho-vay,OCB
2019,"23,370,294,733",dau-tu-chung-khoan,OCB
2019,"82,836,001,315",tien-gui,OCB
2019,"11,507,150,359",von-va-cac-quy,OCB
2019,"36,794,849,000",tong-doanh-thu(*),STB
2019,"3,216,746,000",tong-loi-nhuan-truoc-thue,STB
2019,"22,841,023,000",tong-chi-phi,STB
2019,"2,454,864,000",loi-nhuan-rong(**),STB
2019,"453,581,057,000",tong-tai-san,STB
2019,"296,463,883,000",tien-cho-vay,STB
2019,"76,497,497,000",dau-tu-chung-khoan,STB
2019,"103,854,000",gop-von-va-dau-tu-dai-han,STB
2019,"401,244,045,000",tien-gui,STB
2019,"26,741,640,000",von-va-cac-quy,STB
2019,"1,390,698,000",tong-loi-nhuan-truoc-thue,SSB
2019,"9,632,957,000",tong-chi-phi,SSB
2019,"1,098,452,000",loi-nhuan-rong(**),SSB
2019,"157,398,288,000",tong-tai-san,SSB
2019,"99,878,518,000",tien-cho-vay,SSB
2019,"21,916,986,000",dau-tu-chung-khoan,SSB
2019,"120,759,000",gop-von-va-dau-tu-dai-han,SSB
2019,"117,001,910,000",tien-gui,SSB
2019,"10,925,842,000",von-va-cac-quy,SSB
2019,"34,330,044,000",tong-doanh-thu(*),TCB
2019,"12,838,268,000",tong-loi-nhuan-truoc-thue,TCB
2019,"22,320,412,000",tong-chi-phi,TCB
2019,"10,377,279,000",loi-nhuan-rong(**),TCB
2019,"383,699,461,000",tong-tai-san,TCB
2019,"240,195,831,000",tien-cho-vay,TCB
2019,"76,096,153,000",dau-tu-chung-khoan,TCB
2019,"269,929,098,000",tien-gui,TCB
2019,"61,782,042,000",von-va-cac-quy,TCB
2019,"10,387,820,000",tong-doanh-thu(*),TPB
2019,"2,257,780,000",tong-loi-nhuan-truoc-thue,TPB
2019,"5,194,289,000",tong-chi-phi,TPB
2019,"1,805,238,000",loi-nhuan-rong(**),TPB
2019,"136,179,403,000",tong-tai-san,TPB
2019,"77,845,148,000",tien-cho-vay,TPB
2019,"24,899,523,000",dau-tu-chung-khoan,TPB
2019,"94,791,682,000",tien-gui,TPB
2019,"10,621,685,000",von-va-cac-quy,TPB
2019,"80,399,558,000",tong-doanh-thu(*),VCB
2019,"23,122,377,000",tong-loi-nhuan-truoc-thue,VCB
2019,"54,018,048,000",tong-chi-phi,VCB
2019,"18,510,898,000",loi-nhuan-rong(**),VCB
2019,"1,222,718,858,000",tong-tai-san,VCB
2019,"797,076,934,000",tien-cho-vay,VCB
2019,"169,330,815,000",dau-tu-chung-khoan,VCB
2019,"2,464,493,000",gop-von-va-dau-tu-dai-han,VCB
2019,"999,497,381,000",tien-gui,VCB
2019,"80,799,523,000",von-va-cac-quy,VCB
2019,"20,753,314,000",tong-doanh-thu(*),VIB
2019,"5,803,007,000",tong-loi-nhuan-truoc-thue,VIB
2019,"14,048,701,000",tong-chi-phi,VIB
2019,"4,642,334,000",loi-nhuan-rong(**),VIB
2019,"244,675,677,000",tong-tai-san,VIB
2019,"171,056,253,000",tien-cho-vay,VIB
2019,"41,371,557,000",dau-tu-chung-khoan,VIB
2019,"73,628,000",gop-von-va-dau-tu-dai-han,VIB
2019,"177,235,418,000",tien-gui,VIB
2019,"17,973,814,000",von-va-cac-quy,VIB
2019,"58,047,104,000",tong-doanh-thu(*),VPB
2019,"10,324,161,000",tong-loi-nhuan-truoc-thue,VPB
2019,"34,906,442,000",tong-chi-phi,VPB
2019,"8,260,263,000",loi-nhuan-rong(**),VPB
2019,"377,204,126,000",tong-tai-san,VPB
2019,"261,798,526,000",tien-cho-vay,VPB
2019,"70,294,955,000",dau-tu-chung-khoan,VPB
2019,"164,425,000",gop-von-va-dau-tu-dai-han,VPB
2019,"226,093,939,000",tien-gui,VPB
2019,"42,209,742,000",von-va-cac-quy,VPB
2020,"35,173,768,000",tong-doanh-thu(*),ACB
2020,"9,595,888,000",tong-loi-nhuan-truoc-thue,ACB
2020,"26,222,532,000",tong-chi-phi,ACB
2020,"7,682,823,000",loi-nhuan-rong(**),ACB
2020,"444,530,104,000",tong-tai-san,ACB
2020,"319,839,118,000",tien-cho-vay,ACB
2020,"69,566,928,000",dau-tu-chung-khoan,ACB
2020,"99,489,000",gop-von-va-dau-tu-dai-han,ACB
2020,"368,277,187,000",tien-gui,ACB
2020,"35,448,163,000",von-va-cac-quy,ACB
2020,"117,452,648,000",tong-doanh-thu(*),BID
2020,"9,026,243,000",tong-loi-nhuan-truoc-thue,BID
2020,"71,142,633,000",tong-chi-phi,BID
2020,"6,996,622,000",loi-nhuan-rong(**),BID
2020,"1,516,685,712,000",tong-tai-san,BID
2020,"1,237,591,373,000",tien-cho-vay,BID
2020,"135,284,673,000",dau-tu-chung-khoan,BID
2020,"2,760,622,000",gop-von-va-dau-tu-dai-han,BID
2020,"1,267,502,328,000",tien-gui,BID
2020,"76,412,017,000",von-va-cac-quy,BID
2020,"95,239,188,000",tong-doanh-thu(*),CTG
2020,"17,084,849,000",tong-loi-nhuan-truoc-thue,CTG
2020,"68,969,048,000",tong-chi-phi,CTG
2020,"13,693,588,000",loi-nhuan-rong(**),CTG
2020,"1,341,436,468,000",tong-tai-san,CTG
2020,"1,025,237,943,000",tien-cho-vay,CTG
2020,"120,543,745,000",dau-tu-chung-khoan,CTG
2020,"3,335,507,000",gop-von-va-dau-tu-dai-han,CTG
2020,"1,088,868,725,000",tien-gui,CTG
2020,"84,812,531,000",von-va-cac-quy,CTG
2020,"12,052,510,000",tong-doanh-thu(*),EIB
2020,"1,339,526,000",tong-loi-nhuan-truoc-thue,EIB
2020,"8,060,945,000",tong-chi-phi,EIB
2020,"1,070,181,000",loi-nhuan-rong(**),EIB
2020,"160,435,177,000",tong-tai-san,EIB
2020,"100,767,406,000",tien-cho-vay,EIB
2020,"15,967,304,000",dau-tu-chung-khoan,EIB
2020,"139,545,102,000",tien-gui,EIB
2020,"16,819,490,000",von-va-cac-quy,EIB
2020,"24,855,873,000",tong-doanh-thu(*),HDB
2020,"5,818,222,000",tong-loi-nhuan-truoc-thue,HDB
2020,"11,489,082,000",tong-chi-phi,HDB
2020,"4,248,949,000",loi-nhuan-rong(**),HDB
2020,"319,127,480,000",tong-tai-san,HDB
2020,"178,423,092,000",tien-cho-vay,HDB
2020,"70,714,908,000",dau-tu-chung-khoan,HDB
2020,"153,636,000",gop-von-va-dau-tu-dai-han,HDB
2020,"213,614,737,000",tien-gui,HDB
2020,"22,997,356,000",von-va-cac-quy,HDB
2020,"18,986,341,000",tong-doanh-thu(*),LVB
2020,"2,426,553,000",tong-loi-nhuan-truoc-thue,LVB
2020,"16,093,829,000",tong-chi-phi,LVB
2020,"1,861,908,000",loi-nhuan-rong(**),LVB
2020,"242,342,951,000",tong-tai-san,LVB
2020,"177,037,786,000",tien-cho-vay,LVB
2020,"33,639,012,000",dau-tu-chung-khoan,LVB
2020,"186,544,237,000",tien-gui,LVB
2020,"14,231,726,000",von-va-cac-quy,LVB
2020,"43,896,902,000",tong-doanh-thu(*),MBB
2020,"10,688,276,000",tong-loi-nhuan-truoc-thue,MBB
2020,"28,826,950,000",tong-chi-phi,MBB
2020,"8,262,659,000",loi-nhuan-rong(**),MBB
2020,"494,982,162,000",tong-tai-san,MBB
2020,"299,892,067,000",tien-cho-vay,MBB
2020,"102,798,873,000",dau-tu-chung-khoan,MBB
2020,"885,231,000",gop-von-va-dau-tu-dai-han,MBB
2020,"335,944,502,000",tien-gui,MBB
2020,"47,906,504,000",von-va-cac-quy,MBB
2020,"12,081,003,000",tong-doanh-thu(*),MSB
2020,"2,523,314,000",tong-loi-nhuan-truoc-thue,MSB
2020,"9,306,938,000",tong-chi-phi,MSB
2020,"2,011,144,000",loi-nhuan-rong(**),MSB
2020,"176,697,625,000",tong-tai-san,MSB
2020,"81,587,991,000",tien-cho-vay,MSB
2020,"55,697,977,000",dau-tu-chung-khoan,MSB
2020,"22,036,000",gop-von-va-dau-tu-dai-han,MSB
2020,"109,957,476,000",tien-gui,MSB
2020,"16,874,819,000",von-va-cac-quy,MSB
2020,"12,038,484,261",tong-doanh-thu(*),OCB
2020,"4,419,308,894",tong-loi-nhuan-truoc-thue,OCB
2020,"8,333,430,998",tong-chi-phi,OCB
2020,"3,534,772,210",loi-nhuan-rong(**),OCB
2020,"152,528,878,791",tong-tai-san,OCB
2020,"90,433,506,293",tien-cho-vay,OCB
2020,"34,517,432,536",dau-tu-chung-khoan,OCB
2020,"103,840,714,846",tien-gui,OCB
2020,"17,435,383,126",von-va-cac-quy,OCB
2020,"40,218,488,000",tong-doanh-thu(*),STB
2020,"3,339,280,000",tong-loi-nhuan-truoc-thue,STB
2020,"23,851,401,000",tong-chi-phi,STB
2020,"2,681,981,000",loi-nhuan-rong(**),STB
2020,"492,516,029,000",tong-tai-san,STB
2020,"341,021,720,000",tien-cho-vay,STB
2020,"75,156,127,000",dau-tu-chung-khoan,STB
2020,"124,593,000",gop-von-va-dau-tu-dai-han,STB
2020,"431,960,227,000",tien-gui,STB
2020,"28,956,242,000",von-va-cac-quy,STB
2020,"1,728,936,000",tong-loi-nhuan-truoc-thue,SSB
2020,"10,382,025,000",tong-chi-phi,SSB
2020,"1,360,465,000",loi-nhuan-rong(**),SSB
2020,"180,207,288,000",tong-tai-san,SSB
2020,"108,969,236,000",tien-cho-vay,SSB
2020,"34,874,153,000",dau-tu-chung-khoan,SSB
2020,"102,912,000",gop-von-va-dau-tu-dai-han,SSB
2020,"138,665,069,000",tien-gui,SSB
2020,"13,670,378,000",von-va-cac-quy,SSB
2020,"40,514,559,000",tong-doanh-thu(*),TCB
2020,"15,800,296,000",tong-loi-nhuan-truoc-thue,TCB
2020,"23,922,367,000",tong-chi-phi,TCB
2020,"12,324,991,000",loi-nhuan-rong(**),TCB
2020,"439,602,933,000",tong-tai-san,TCB
2020,"285,406,939,000",tien-cho-vay,TCB
2020,"92,794,817,000",dau-tu-chung-khoan,TCB
2020,"298,690,740,000",tien-gui,TCB
2020,"74,131,020,000",von-va-cac-quy,TCB
2020,"14,344,815,000",tong-doanh-thu(*),TPB
2020,"3,868,189,000",tong-loi-nhuan-truoc-thue,TPB
2020,"6,829,905,000",tong-chi-phi,TPB
2020,"3,093,842,000",loi-nhuan-rong(**),TPB
2020,"164,438,534,000",tong-tai-san,TPB
2020,"97,406,233,000",tien-cho-vay,TPB
2020,"26,075,064,000",dau-tu-chung-khoan,TPB
2020,"121,387,888,000",tien-gui,TPB
2020,"13,074,679,000",von-va-cac-quy,TPB
2020,"82,799,396,000",tong-doanh-thu(*),VCB
2020,"23,049,561,000",tong-loi-nhuan-truoc-thue,VCB
2020,"53,683,216,000",tong-chi-phi,VCB
2020,"18,451,311,000",loi-nhuan-rong(**),VCB
2020,"1,326,230,092,000",tong-tai-san,VCB
2020,"904,044,123,000",tien-cho-vay,VCB
2020,"158,885,158,000",dau-tu-chung-khoan,VCB
2020,"2,239,006,000",gop-von-va-dau-tu-dai-han,VCB
2020,"1,133,030,000,000",tien-gui,VCB
2020,"94,009,955,000",von-va-cac-quy,VCB
2020,"24,777,881,000",tong-doanh-thu(*),VIB
2020,"8,011,012,000",tong-loi-nhuan-truoc-thue,VIB
2020,"15,278,869,000",tong-chi-phi,VIB
2020,"6,409,750,000",loi-nhuan-rong(**),VIB
2020,"309,517,129,000",tong-tai-san,VIB
2020,"217,754,586,000",tien-cho-vay,VIB
2020,"44,737,181,000",dau-tu-chung-khoan,VIB
2020,"69,544,000",gop-von-va-dau-tu-dai-han,VIB
2020,"211,584,560,000",tien-gui,VIB
2020,"24,290,740,000",von-va-cac-quy,VIB
2020,"61,975,484,000",tong-doanh-thu(*),VPB
2020,"13,019,455,000",tong-loi-nhuan-truoc-thue,VPB
2020,"35,424,381,000",tong-chi-phi,VPB
2020,"10,413,760,000",loi-nhuan-rong(**),VPB
2020,"419,026,527,000",tong-tai-san,VPB
2020,"296,541,869,000",tien-cho-vay,VPB
2020,"76,978,649,000",dau-tu-chung-khoan,VPB
2020,"238,581,000",gop-von-va-dau-tu-dai-han,VPB
2020,"242,799,397,000",tien-gui,VPB
2020,"52,793,502,000",von-va-cac-quy,VPB
2021,"38,463,641,000",tong-doanh-thu(*),ACB
2021,"11,998,112,000",tong-loi-nhuan-truoc-thue,ACB
2021,"24,694,987,000",tong-chi-phi,ACB
2021,"9,602,746,000",loi-nhuan-rong(**),ACB
2021,"527,769,944,000",tong-tai-san,ACB
2021,"368,018,084,000",tien-cho-vay,ACB
2021,"70,734,335,000",dau-tu-chung-khoan,ACB
2021,"171,925,000",gop-von-va-dau-tu-dai-han,ACB
2021,"421,301,240,000",tien-gui,ACB
2021,"44,900,909,000",von-va-cac-quy,ACB
2021,"120,523,066,000",tong-doanh-thu(*),BID
2021,"13,547,651,000",tong-loi-nhuan-truoc-thue,BID
2021,"60,719,003,000",tong-chi-phi,BID
2021,"10,540,138,000",loi-nhuan-rong(**),BID
2021,"1,761,695,792,000",tong-tai-san,BID
2021,"1,378,662,218,000",tien-cho-vay,BID
2021,"183,157,708,000",dau-tu-chung-khoan,BID
2021,"2,847,647,000",gop-von-va-dau-tu-dai-han,BID
2021,"1,439,351,438,000",tien-gui,BID
2021,"83,135,098,000",von-va-cac-quy,BID
2021,"99,194,631,000",tong-doanh-thu(*),CTG
2021,"17,589,156,000",tong-loi-nhuan-truoc-thue,CTG
2021,"65,756,062,000",tong-chi-phi,CTG
2021,"14,088,760,000",loi-nhuan-rong(**),CTG
2021,"1,531,587,398,000",tong-tai-san,CTG
2021,"1,150,185,049,000",tien-cho-vay,CTG
2021,"180,019,857,000",dau-tu-chung-khoan,CTG
2021,"3,290,027,000",gop-von-va-dau-tu-dai-han,CTG
2021,"1,195,518,917,000",tien-gui,CTG
2021,"92,954,739,000",von-va-cac-quy,CTG
2021,"11,312,447,000",tong-doanh-thu(*),EIB
2021,"1,205,066,000",tong-loi-nhuan-truoc-thue,EIB
2021,"7,096,709,000",tong-chi-phi,EIB
2021,"965,437,000",loi-nhuan-rong(**),EIB
2021,"165,831,996,000",tong-tai-san,EIB
2021,"114,674,630,000",tien-cho-vay,EIB
2021,"15,880,578,000",dau-tu-chung-khoan,EIB
2021,"144,989,650,000",tien-gui,EIB
2021,"17,784,908,000",von-va-cac-quy,EIB
2021,"28,800,218,000",tong-doanh-thu(*),HDB
2021,"8,069,617,000",tong-loi-nhuan-truoc-thue,HDB
2021,"12,799,366,000",tong-chi-phi,HDB
2021,"6,453,499,000",loi-nhuan-rong(**),HDB
2021,"374,611,571,000",tong-tai-san,HDB
2021,"203,316,247,000",tien-cho-vay,HDB
2021,"76,711,492,000",dau-tu-chung-khoan,HDB
2021,"123,831,000",gop-von-va-dau-tu-dai-han,HDB
2021,"243,134,821,000",tien-gui,HDB
2021,"29,033,441,000",von-va-cac-quy,HDB
2021,"22,238,480,000",tong-doanh-thu(*),LVB
2021,"3,638,018,000",tong-loi-nhuan-truoc-thue,LVB
